cohort_id,source_type,commit_hash,date,title,qualifies,qualification_reason,total_files_touched,production_files_touched,test_files_touched,docs_files_touched,tooling_files_touched,recurrence_evidence,replay_or_regression_link,notes
CA-01,git_commit,09863c6e54786678e69a8bd42887b2d04cd67777,2026-03-21,Fix dialogue/adjudication routing and remove scaffold text leakage; improve follow-up response handling,true,Precise corrective subject matches routing and leakage source edits,7,4,0,0,0,none,none,fixtures=3; generated=0; confidence=medium; failure_modes=routing|scaffold_leakage
CA-02,git_commit,ceecc579da4211f45d57681d56c4e6fc9190cd10,2026-04-16,Opening Scene Repair,true,Opening behavior repair changes runtime source and adds six focused opening/start regression test files,20,8,6,2,0,related_family_only,tests/test_opening_start_seam_regressions.py; tests/test_start_campaign_api.py,fixtures=4; generated=0; confidence=medium; repair_family=opening_fallback
CA-03,git_commit,6351b333fc2adbae16f6305b805e1dcfe6d3856e,2026-04-25,Preserve curated opening facts through fallback,true,Concrete fallback loss repair with matching source tests and Cycle F regression-lock evidence,16,9,4,0,0,related_family_only,audits/cycle_f_final_gate_hotspot_touch_budget_20260518.md; tests/test_start_campaign_api.py,fixtures=3; generated=0; confidence=high; failure_modes=fallback
CA-04,git_commit,2013258b0711906675639c712520a52728096f09,2026-04-25,Restrict journal seed facts to perceptual opening content,true,Repairs private and inference fact leakage with targeted rejection tests,7,2,2,0,0,related_family_only,tests/test_opening_visible_fact_selection.py,fixtures=3; generated=0; confidence=high; failure_modes=opening_content
EX-01,git_commit,2b293b22f9072b100ac447db0bd98479b11da33e,2026-04-25,Restore journal seed facts as opening source,false,Only mutable runtime snapshots changed; no production source repair or regression evidence,3,0,0,0,0,none,none,fixtures=3; generated=0; exclusion_control=true
CA-05,git_commit,9e8382042775efb14fbdc916a887a40095474ae4,2026-04-26,Preserve journal openings through selector fallback,true,Selector fallback repair spans API gate and prompt source with start-campaign coverage,7,3,1,0,0,related_family_only,audits/cycle_f_final_gate_hotspot_touch_budget_20260518.md; tests/test_start_campaign_api.py,fixtures=3; generated=0; confidence=high; failure_modes=fallback
CA-06,git_commit,1b3b3ee0bef97447aeb52836779bcf543b6a73d7,2026-04-26,Preserve valid scene openings before deterministic fallback,true,Direct repair and regression lock prevent valid openings from being replaced,5,1,1,0,0,related_family_only,tests/test_final_emission_gate.py::test_valid_scene_opening_skips_deterministic_fallback,fixtures=3; generated=0; confidence=high; failure_modes=fallback
CA-07,git_commit,f487f4d74dab834bee1cdbb08f31f1ec311f37c5,2026-04-26,Guard rich scene openings from post-gate shortening,true,Targeted test forces post-gate shortening and verifies restoration of valid rich text,216,2,1,0,0,related_family_only,tests/test_start_campaign_api.py::test_start_campaign_scene_opening_reconcile_cannot_shorten_rich_post_gate_text,fixtures=3; generated=210; confidence=high; failure_modes=fallback|mutation; raw_total_polluted=true
CA-08,git_commit,f3fa4b110e0a0b1661ab2109d1c4d133fbf8428a,2026-04-26,Preserve player chat in replayed logs,true,Frontend and backend regression tests repair omitted player turns in replayed logs,52,2,2,0,0,none,tests/test_frontend_ui_mode_hardening_objective15.py::test_log_replay_renders_player_then_gm; tests/test_ui_mode_backend_integration.py::test_public_log_exposes_player_input_as_public_transcript_field,fixtures=4; generated=44; confidence=high; failure_modes=replay_log; raw_total_polluted=true
CA-09,git_commit,5cb8444d8f29a36d4d8e619aefe03c2be5be4add,2026-04-26,Recover mixed investigation question routing,true,Parser and shared-pipeline regression tests demonstrate and repair mixed-turn misrouting,538,2,2,0,0,none,tests/test_intent_parser.py::test_parse_mixed_investigation_question_uses_scene_grounding_metadata; tests/test_turn_pipeline_shared.py::test_chat_mixed_scene_object_investigation_question_recovers_action_outcome,fixtures=0; generated=534; confidence=high; failure_modes=routing; raw_total_polluted=true
CA-10,git_commit,6a402d264eec1bd4ef5be98407998ba105e30f52,2026-05-20,config: lazy-load OpenAI API key for import-safe tests,true,Contemporaneous report records the CI collection failure chain and focused passing regression slices,9,3,5,1,0,none,docs/reports/openai_api_key_lazy_config_fix_20260520.md,fixtures=0; generated=0; confidence=high; failure_modes=ci_import
