cohort_id,commit_hash,date,title,qualifies,confidence,defect_statement,repair_family,recurrence_evidence_status,total_files_touched,production_files_touched,test_files_touched,docs_files_touched,tooling_files_touched,fixture_files_touched,generated_files_touched,effective_files_touched,exclusion_reason
CA-01,09863c6e54786678e69a8bd42887b2d04cd67777,2026-03-21,Fix dialogue/adjudication routing and remove scaffold text leakage; improve follow-up response handling,true,medium,Dialogue and adjudication routing wrong; scaffold text leaked into follow-up responses,dialogue_routing,none,7,4,0,0,0,3,0,7,
CA-02,ceecc579da4211f45d57681d56c4e6fc9190cd10,2026-04-16,Opening Scene Repair,true,medium,Opening scene behavior was incorrect at campaign start,opening_fallback,related_family_only,20,8,6,2,0,4,0,20,
CA-03,6351b333fc2adbae16f6305b805e1dcfe6d3856e,2026-04-25,Preserve curated opening facts through fallback,true,high,Curated opening facts lost when fallback path engaged,opening_fallback,related_family_only,16,9,4,0,0,3,0,16,
CA-04,2013258b0711906675639c712520a52728096f09,2026-04-25,Restrict journal seed facts to perceptual opening content,true,high,Private and inference facts leaked into journal seed opening content,opening_fallback,related_family_only,7,2,2,0,0,3,0,7,
EX-01,2b293b22f9072b100ac447db0bd98479b11da33e,2026-04-25,Restore journal seed facts as opening source,false,,,,,3,0,0,0,0,3,0,3,Only mutable runtime snapshots changed; no production source repair or regression evidence
CA-05,9e8382042775efb14fbdc916a887a40095474ae4,2026-04-26,Preserve journal openings through selector fallback,true,high,Journal openings lost when selector fallback engaged,opening_fallback,related_family_only,7,3,1,0,0,3,0,7,
CA-06,1b3b3ee0bef97447aeb52836779bcf543b6a73d7,2026-04-26,Preserve valid scene openings before deterministic fallback,true,high,Valid scene openings replaced by deterministic fallback,opening_fallback,related_family_only,5,1,1,0,0,3,0,5,
CA-07,f487f4d74dab834bee1cdbb08f31f1ec311f37c5,2026-04-26,Guard rich scene openings from post-gate shortening,true,high,Rich scene openings shortened after post-gate processing,opening_fallback,related_family_only,216,2,1,0,0,3,210,6,
CA-08,f3fa4b110e0a0b1661ab2109d1c4d133fbf8428a,2026-04-26,Preserve player chat in replayed logs,true,high,Player chat omitted from replayed logs,replay_log,none,52,2,2,0,0,4,44,8,
CA-09,5cb8444d8f29a36d4d8e619aefe03c2be5be4add,2026-04-26,Recover mixed investigation question routing,true,high,Mixed investigation questions misrouted through parser and shared pipeline,routing,none,538,2,2,0,0,0,534,4,
CA-10,6a402d264eec1bd4ef5be98407998ba105e30f52,2026-05-20,config: lazy-load OpenAI API key for import-safe tests,true,high,OpenAI API key required at import time broke CI test collection,ci_import,none,9,3,5,1,0,0,0,9,
